l1,l2,l3
G,G5,G52
J,J4,J42
F,FB,FB4
I,I1,I15
E,E5,E51
Z,G2,G28
,J2,J21
,J1,G51
,E1,J14
,G1,J26
,J5,E12
,I1,J13
,F5,J16
,FA,G29
,G3,G1A
,I2,E16
,E3,I11
,J6,J12
,E2,G13
,F9,J54
,F6,F32
,G4,F51
,J3,G17
,J,FA1
,F4,G3F
,E6,J15
,,I22
,,G37
,,E18
,,E31
,,J61
,,E27
,,F52
,,F93
,,J52
,,G21
,,J53
,,J64
,,G34
,,I1
,,J23
,,E26
,,J63
,,G1C
,,J43
,,J25
,,F61
,,F66
,,E15
,,G58
,,G16
,,E13
,,I13
,,G56
,,F31
,,FA3
,,E28
,,G1D
,,J5
,,G35
,,G12
,,G11
,,E22
,,J6
,,FA4
,,E35
,,J24
,,FA2
,,J44
,,FB3
,,E21
,,FA
,,J2
,,G18
,,G4
,,E52
,,E17
,,E34
,,J1
,,E54
,,I23
,,G57
,,E11
,,J3
,,F55
,,F54
,,J33
,,J27
,,J11
,,I12
,,J32
,,J4
,,J41
,,J65
,,G44
,,I21
,,J51
,,J
,,G53
,,G55
,,G19
,,F42
,,E1
,,E1D
,,E1A
,,G5
,,J45
,,J22
,,G54
,,E61
,,J47
,,F92
