code,int
A25,0
B14,1
B21,2
B33,3
B34,4
C11,5
C12,6
C13,7
C15,8
C16,9
C21,10
C22,11
C23,12
C25,13
C31,14
C32,15
C33,16
C34,17
C35,18
C36,19
E11,20
E12,21
E13,22
E15,23
E16,24
E17,25
E18,26
E1A,27
E1D,28
E21,29
E22,30
E26,31
E27,32
E28,33
E31,34
E34,35
E35,36
E51,37
E52,38
E54,39
E61,40
F31,41
F32,42
F42,43
F51,44
F52,45
F54,46
F55,47
F61,48
F66,49
F92,50
F93,51
FA1,52
FA2,53
FA3,54
FA4,55
FB3,56
FB4,57
G11,58
G12,59
G13,60
G16,61
G17,62
G18,63
G19,64
G1A,65
G1C,66
G1D,67
G21,68
G28,69
G29,70
G34,71
G35,72
G37,73
G3F,74
G44,75
G51,76
G52,77
G53,78
G54,79
G55,80
G56,81
G57,82
G58,83
H25,84
H26,85
H31,86
H32,87
H36,88
H53,89
H56,90
I11,91
I12,92
I13,93
I15,94
I21,95
I22,96
I23,97
J11,98
J12,99
J13,100
J14,101
J15,102
J16,103
J21,104
J22,105
J23,106
J24,107
J25,108
J26,109
J27,110
J32,111
J33,112
J41,113
J42,114
J43,115
J44,116
J45,117
J47,118
J51,119
J52,120
J53,121
J54,122
J61,123
J63,124
J64,125
J65,126
Z99,254
