int,zone44,zone98,zone63,zone114,zone70,zone14,zone100,zone118,zone106,zone112,zone10,zone72,zone75,zone4,zone77,zone17,zone103,zone171,zone67,zone164,zone172,zone6,zone15,zone57,zone54,zone158,zone30,zone39,zone11,zone170,zone141,zone24,zone143,zone160,zone37,zone161,zone16,zone27,zone78,zone139,zone71,zone125,zone19,zone115,zone93,zone153,zone104,zone137,zone147,zone65,zone123,zone23,zone116,zone56,zone85,zone21,zone74,zone95,zone58,zone69,zone53,zone41,zone88,zone168,zone22,zone52,zone90,zone33,zone136,zone126,zone48,zone94,zone167,zone156,zone165,zone121,zone117,zone80,zone66,zone132,zone45,zone169,zone1,zone12,zone51,zone128,zone38,zone142,zone7,zone5,zone76,zone113,zone154,zone73,zone101,zone129,zone145,zone144,zone34,zone96,zone133,zone140,zone159,zone124,zone68,zone97,zone50,zone28,zone127,zone102,zone134,zone155,zone20,zone25,zone2,zone120,zone84,zone162,zone59,zone157,zone47,zone138,zone148,zone3,zone26,all_zones
0,0.0011758218264446578,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.028575721153846153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23390549879807693,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.004664106528172903
1,0.6067489538778806,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.1261651611328125,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.020661002673598498
2,0.00816605210970234,0.0,0.0,0.0,,0.0,0.01789154877533784,,0.0007100105285644531,0.0,0.0,0.0,0.0036955468448591823,0.0647418682391827,0.011580033735795454,0.0025896155315896737,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004068977602066533,0.011969231939935064,0.0008148193359375,0.0,0.0,0.0,,0.0,0.00035839989071800594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.023110097946097318,0.0,0.0,,0.0,0.0,0.009690126671249417,0.0,0.0,,0.0,0.29603271484375,0.0,0.0,0.000348193257508258,0.052127838134765625,,0.0,0.0,0.0,0.0,,0.0,,0.4408705691073803,0.2540793282645089,0.0,0.0,0.032229105631510414,,0.0,0.0,0.0,0.0,0.0,0.0,0.00011107742145497311,0.0,0.0,0.0,0.0004402609432444853,0.01255741404063666,0.0,,0.0,0.0,0.003824570599724265,0.23123343331473215,0.0,0.0,0.0,0.00359039306640625,0.5047042281539352,0.5803578694661459,0.0,0.0,0.0,0.13951319777619295,0.006284946348608994,,0.0,,0.0,0.00019402597464767156,0.0,0.0,0.0,0.0,0.0,0.009757713035300927,0.0,0.0,0.13353729248046875,0.0038097240306712962,0.0,0.0,0.0,0.0,0.0,,0.0,0.03212432861328125,0.0,0.014592502435912742
3,0.009463518025488827,0.018769945417131697,0.12651658332210847,0.1105621337890625,,0.16666666666666666,0.267019323400549,,0.004798412322998047,0.20072133917557566,0.08085366953974185,0.6134158047762784,0.013250657069830247,0.1348090538611779,0.22678930109197443,0.08984282120414402,,0.0,0.4253414154052734,0.029083251953125,0.006892957185444079,0.009176166240985576,1.0,0.5424407958984375,0.06301653462071573,0.042321935876623376,0.057515316917782736,0.0,0.710418701171875,0.19396018981933594,,0.7271915011935763,0.24959164574032738,0.004830189240284455,0.0006404738352088731,0.0013019650481468023,0.0,0.03914458991945252,0.6599445484302662,0.25972029414490194,0.7404067993164063,,0.4959454819492009,0.015681391176970108,0.11396026611328125,,0.046632906285727894,0.294772466023763,0.3922934931749738,0.2792363570908369,0.0,,0.0,0.0425079345703125,0.0071434230979429475,0.17746925354003906,0.08717159435712578,0.6319048563639323,,0.709906005859375,1.0,0.0,0.18671417236328125,,0.025468662806919642,,0.09091381316489362,0.13987797328404017,0.4287327816611842,0.0,0.005942026774088542,,0.057217237684461804,0.001410819388724662,0.002990570068359375,0.0,0.0,0.09888966878255208,0.060876661731350805,0.07206535339355469,0.07665882599659456,0.3627471923828125,0.4303427303538603,0.246451819120948,0.528207760765439,,0.8543355096246779,0.0,0.4803309721105239,0.049239676339285714,0.016078157244988206,0.45317526424632354,0.03620503743489583,0.051470947265625,0.051853321216724535,0.0,0.4017260587668117,0.13747816819411057,0.1840243869357639,0.1219616648567168,0.10651769870665015,,0.004735227491034836,,0.3085060773577009,0.02850057564529718,0.26089935302734374,0.01910543786474021,0.0,0.08352798745233753,0.0,0.7610781634295428,0.049363107392282196,0.047223219858384985,0.864837646484375,0.10031195746527778,0.953411865234375,0.10293070475260417,0.09796639511868414,0.0,0.0001618185161072531,,0.057946205139160156,0.468878173828125,0.14054611493956368,0.17211347401488594
4,0.32050847740812677,0.08575439453125,0.06647131908899066,0.0066925048828125,,0.16666666666666666,0.40220724569784627,,0.0016226768493652344,0.7908321179841694,0.21017478168874548,0.2953241521661932,0.008366714289158951,0.09364670973557693,0.11707583340731534,0.01728422745414402,,0.0,0.0,0.0411224365234375,0.0019503141704358552,0.0,0.0,0.393572998046875,0.01803795599168347,0.2763673856660917,0.26939479282924106,0.7197052001953125,0.21223958333333334,0.0,,0.003846062554253472,0.12768863496326266,0.04008210011017628,0.9984405201333793,0.14234143634175145,0.0,0.4359289361524952,0.043699363425925924,0.015454257491731295,0.041156005859375,,0.06861779896635987,0.0,0.21149444580078125,,0.0,0.01992352803548177,0.351288381679542,0.0,0.9978599548339844,,0.5786154303752201,0.03084716796875,0.03215537814919008,0.2226403554280599,0.017926339479746176,0.0,,0.06303935803865132,0.0,0.0,0.07601674397786458,,0.9519435337611607,,0.0,0.08155081612723214,0.0,0.8738348388671875,0.2511889139811198,,0.016856723361545138,0.40166988888302363,0.0,0.6757263351272751,0.0,0.05176092077184607,0.4234015351982527,0.11405372619628906,0.6008630214593349,0.0145721435546875,0.5250261194565717,0.20233814751923973,0.00846957252139137,,0.0,0.9762742448561262,0.18540326286764705,0.0,0.010211872604658018,0.06288775275735294,0.6173807779947916,0.05150146484375,0.41860170717592593,0.0,0.0,0.7281717153695914,0.8159756130642362,0.0,0.1384595545326791,,0.9445405553598873,,0.02037235804966518,0.0,0.0,0.0,0.211578369140625,0.0,0.01080923369436553,0.0,0.6251664595170454,0.00014535783079373278,0.0,0.7119752106843171,0.0,0.0,0.029712253146701388,0.07049560546875,0.0,,0.8693680763244629,0.36908721923828125,0.19456683464770047,0.17752663458397303
5,0.05378578228657472,0.01222991943359375,0.032607681449802445,0.7940032958984375,,0.0,0.3080378351984797,,0.0028471946716308594,0.0,0.024406101392663044,0.048964066938920456,0.10773741168740356,0.060987619253305286,0.6264898126775568,0.006186709196671195,,0.7239608764648438,0.12283248901367187,0.4935760498046875,0.0,0.0,0.0,0.02090606689453125,0.5026897799584173,0.1574086771382914,0.6616106305803572,0.0,0.0,0.0,,0.05268096923828125,0.5791698637462798,0.28303801707732373,0.0,0.8468659866687863,1.0,0.3194732666015625,0.16275374801070602,0.28969604603565524,0.030579376220703124,,0.288146275907891,0.9674112071161685,0.606903076171875,,0.8340359199337843,0.4709593454996745,0.08709478111906424,0.6426877813824152,0.0,,0.3550218035917327,0.6306121826171875,0.1698793183772936,0.06571070353190105,0.11073010355772991,0.21357014973958333,,0.09507767526726973,0.0,0.0,0.4078965187072754,,0.0,,0.4041626301217586,0.28190699986049106,0.5561829416375411,0.0,0.7106399536132812,,0.01992153591579861,0.407754846521326,0.9970094299316407,0.0009599622789320055,0.6137644449869791,0.771792659053096,0.3724130609984039,0.8138809204101562,0.0,0.2932586669921875,0.012246345071231618,0.19584251517680154,0.30401880173456103,,0.0,0.0006532574644183168,0.10487679874195772,0.05222603934151786,0.008487341538915094,0.4433171889361213,0.0,0.3108856201171875,0.0,0.045290629069010414,0.0,0.10573636568509616,0.0,0.19650794064850233,0.6882469363328887,,0.045158261158427256,,0.5763976614815848,0.15291700176164216,0.0,0.9787738478327372,0.45935821533203125,0.9164720125476624,0.5261285955255682,0.18048886899594907,0.0,0.8924757692111097,0.0,0.16673369231047452,0.00233154296875,0.8970692952473959,0.6645732309626436,0.8065414428710938,0.003420794451678241,,0.06505298614501953,0.12211761474609376,0.44748500608048347,0.3220326444925208
6,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.008446542840254935,0.004179360210031703,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.9404644305889424,0.0,0.0,0.0026774744833669355,0.025225156313413148,0.0,0.0054473876953125,0.0,0.0,,0.0,0.00042288643973214287,0.014603639260316506,0.0,0.009490611941315407,0.0,0.0,0.0,0.0,0.0,,0.0,0.016907401706861412,0.0676422119140625,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0004899611166857798,0.0,0.0,0.0852216084798177,,0.0,0.0,0.0,0.01968860626220703,,0.0,,0.0,0.0,0.015084276701274671,0.0,0.0,,0.0,0.0,0.0,0.0,0.3862355550130208,0.002803378634982639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0056080537683823525,0.0,0.0,0.005132039388020833,0.0,0.0,0.028613750751201924,0.0,0.04469008069810036,0.015392954756573932,,0.0055659559906506145,,0.0,0.0,0.139678955078125,0.0,0.04064178466796875,0.0,0.0,0.033205385561342594,0.0,0.012233387340198864,0.0,0.004396678783275463,0.0,0.0,0.0,0.12296295166015625,0.0,,0.0,0.0,0.0,0.015066653640950216
7,0.0,0.8279037475585938,0.5416598265198456,0.0,,0.6666666666666666,0.0,,0.23987674713134766,0.0,0.4531736512115036,0.0,0.8520372178819444,0.32131195068359375,0.0,0.8509749702785326,,0.0,0.2761260986328125,0.0,0.9475412870708265,0.0,0.0,0.0,0.3350548528855847,0.11019481312144887,0.010664440336681548,0.274847412109375,0.0,0.48207855224609375,,0.0,0.0,0.5162183321439303,0.0,0.0,0.0,0.027765200119609982,0.05865749782986111,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.08172902936597998,0.0,0.0,,0.0,0.0,0.7896762112958715,0.314578374226888,0.7455124729034466,0.00419921875,,0.0,0.0,0.0,0.30968395868937176,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.8104902479383681,0.0,0.0,0.2547004615867531,0.0,0.07475337275752315,0.06293184013776881,0.0,0.0,0.11296844482421875,0.0,0.23510275314103313,0.0,,0.0,0.0,0.20972487505744486,0.6569069998604911,0.9640307156544812,0.0,0.07784322102864584,0.15165252685546876,0.0,0.3333333333333333,0.0,0.0,0.0,0.19330657072581692,0.00046055491377667684,,0.0,,0.0913913835797991,0.0,0.0,0.0017855356974774096,0.2357330322265625,0.0,0.3079561175722064,0.010161223234953705,0.0,0.04343740079685348,0.0,0.0,0.036330159505208334,0.0,0.04729634135162237,0.0,0.0,,0.0,0.00779266357421875,0.06004535027270047,0.1652449946365056
8,0.0001513944657821229,0.05534199305943081,0.23274458961925287,0.0887420654296875,,0.0,0.0048440469277871625,,0.7032036781311035,0.0,0.2272124359573143,0.042295976118607956,0.014912452226803626,0.32450279822716344,0.018065019087357956,0.03312165633491848,,0.26163609822591144,0.16746940612792968,0.43621826171875,0.043615441573293584,0.02178368201622596,0.0,0.04308013916015625,0.07445442445816532,0.37651279994419645,0.0,0.0,0.07734171549479167,0.3239612579345703,,0.2162814670138889,0.04276856921968006,0.021694476787860576,0.0009190060314119171,0.0,0.0,0.17768800720687986,0.07494484230324074,0.4351294023277116,0.18785781860351564,,0.07338230359499857,0.0,0.0,,0.1193311737804878,0.21434466044108072,0.07790418798919052,0.07807586152674788,0.002140045166015625,,0.06636276603304724,0.0,0.0006557079630160551,0.21960131327311197,0.038073098046060065,0.012976328531901041,,0.13197696083470395,0.0,1.0,0.0,,0.022587803431919642,,0.06405298760596742,0.24258488246372767,0.0,0.0,0.0,,0.09551425509982639,0.18916444520692569,0.0,0.06861324100703983,0.0,0.0,0.006186044344338038,0.0,0.08857265374599359,0.21645355224609375,0.03194454417509191,0.10770735100134095,0.15930386497860863,,0.14566449037532217,0.023072497679455444,0.015839520622702205,0.010393851143973214,0.0011919129569575471,0.03501174029181985,0.26857096354166665,0.4308990478515625,0.019708704065393517,0.041018168131510414,0.5982739412331883,0.0,0.0,0.30402054529467065,0.04463735440882241,,0.0,,0.00333251953125,0.818388396618413,0.5994216918945312,0.00033517860504518073,0.0526885986328125,0.0,0.15510605320785986,0.005308645742910879,0.32547043309067236,0.004484864962659263,0.00162506103515625,0.012772736725983795,0.007926432291666667,0.0,0.1604517794203484,0.0,0.9964173870322145,,0.007632732391357422,0.0,0.15735669405955188,0.10530008215540326
9,0.0,0.0,0.0,0.0,,0.0,0.0,,0.046941280364990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.014403025309244791,0.0082305908203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.11953324538010818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05079804163545234,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.00023819839838317108,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.07407978016843078,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.002797904838077038
