int,zone44,zone98,zone63,zone114,zone70,zone14,zone100,zone118,zone106,zone112,zone10,zone72,zone75,zone4,zone77,zone17,zone103,zone171,zone67,zone164,zone172,zone6,zone15,zone57,zone54,zone158,zone30,zone39,zone11,zone170,zone141,zone24,zone143,zone160,zone37,zone161,zone16,zone27,zone78,zone139,zone71,zone125,zone19,zone115,zone93,zone153,zone104,zone137,zone147,zone65,zone123,zone23,zone116,zone56,zone85,zone21,zone74,zone95,zone58,zone69,zone53,zone41,zone88,zone168,zone22,zone52,zone90,zone33,zone136,zone126,zone48,zone94,zone167,zone156,zone165,zone121,zone117,zone80,zone66,zone132,zone45,zone169,zone1,zone12,zone51,zone128,zone38,zone142,zone7,zone5,zone76,zone113,zone154,zone73,zone101,zone129,zone145,zone144,zone34,zone96,zone133,zone140,zone159,zone124,zone68,zone97,zone50,zone28,zone127,zone102,zone134,zone155,zone20,zone25,zone2,zone120,zone84,zone162,zone59,zone157,zone47,zone138,zone148,zone3,zone26
0,27587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2989200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14235476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6469.0,0.0,1102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916827.0,0.0,0.0,0.0,7679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530394.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.0,0.0,0.0,0.0,32766.0,0.0,15594.0,19517.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315681.0,0.0,0.0,0.0,0.0,0.0,24732.0,0.0,0.0,0.0,0.0,377041.0,0.0,0.0,16407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199812.0,1165594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152945.0,39317.0,0.0,0.0,0.0,496918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,191591.0,0.0,0.0,0.0,0.0,0.0,43384.0,0.0,0.0,0.0,0.0,0.0,0.0,110316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41333.0,60400.0,5607.0,0.0,0.0,0.0,0.0,0.0,1973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16004.0,0.0,0.0,0.0,0.0,0.0,316291.0,0.0,0.0,0.0,0.0,10975.0,0.0,0.0,0.0,204975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599293.0,0.0,0.0,0.0,17667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4905.0,0.0,0.0,0.0,0.0,0.0,8522.0,0.0,0.0,0.0,0.0,2353.0,740115.0,417095.0,0.0,0.0,0.0,1706578.0,33775.0,0.0,0.0,0.0,0.0,1297.0,0.0,0.0,0.0,0.0,0.0,34532.0,0.0,0.0,35006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21053.0,0.0
8,222032.0,0.0,430895.0,36229.0,0.0,0.0,304559.0,0.0,0.0,0.0,37255.0,394413.0,0.0,0.0,0.0,0.0,0.0,0.0,1152374.0,0.0,0.0,0.0,0.0,92999.0,417201.0,188866.0,153462.0,0.0,0.0,0.0,0.0,0.0,184513.0,0.0,0.0,0.0,0.0,9386.0,482433.0,0.0,930798.0,0.0,0.0,0.0,0.0,0.0,250603.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,102057.0,0.0,2693153.0,538746.0,0.0,0.0,0.0,0.0,877014.0,0.0,0.0,0.0,560064.0,0.0,5338512.0,0.0,0.0,0.0,0.0,3421.0,19599.0,0.0,0.0,349965.0,110948.0,943.0,0.0,0.0,2788934.0,1413018.0,6191266.0,0.0,0.0,0.0,0.0,32060.0,0.0,504888.0,0.0,29431.0,69035.0,0.0,0.0,0.0,542710.0,1417117.0,0.0,0.0,18930.0,0.0,6758152.0,0.0,0.0,519619.0,0.0,2063732.0,0.0,0.0,106757.0,0.0,0.0,839434.0,38487.0,161896.0,681456.0,0.0,0.0,0.0,364566.0,56964.0,50670.0
9,0.0,34443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47796.0,5549.0,0.0,326983.0,0.0,0.0,0.0,331537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242317.0,0.0,0.0,101691.0,0.0,0.0,140367.0,0.0,0.0,0.0,0.0,166283.0,5013689.0,7909976.0,0.0,0.0,1193281.0,0.0,0.0,0.0,0.0,0.0,3638536.0,0.0,0.0,0.0,0.0,55677.0,0.0,0.0,678600.0,1929032.0,0.0,979242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244020.0,36840.0,0.0,47546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80884.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898755.0,0.0,161142.0,0.0,0.0,0.0,0.0,5356.0,0.0
